Object,Feature ID,Area
map.geo,AD,422899651.59802246
map.geo,AE,61654768800.86914
map.geo,AF,602977752566.5479
map.geo,AG,357178759.79589844
map.geo,AL,27214164066.345703
map.geo,AM,28114254541.03125
map.geo,AN,488620543.4003906
map.geo,AO,1041247520556.012
map.geo,AQ,23687243835478.094
map.geo,AR,2621983554767.374
map.geo,AS,65720891.802734375
map.geo,AT,87505938719.83276
map.geo,AU,6808298637666.289
map.geo,AW,85722902.35107422
map.geo,AX,734359530.140625
map.geo,AZ,81665351639.65527
map.geo,BA,52942464491.9375
map.geo,BB,280028147.6791992
map.geo,BD,120077784183.11523
map.geo,BE,33223339521.144165
map.geo,BF,226708502417.43716
map.geo,BG,108999527769.2959
map.geo,BH,425757081.6767578
map.geo,BI,22507976727.277283
map.geo,BJ,96123947836.1802
map.geo,BL,34289160.939453125
map.geo,BM,40004021.095703125
map.geo,BN,4574745555.4609375
map.geo,BO,919146675877.4102
map.geo,BR,7084452110159.737
map.geo,BS,9809557459.023438
map.geo,BT,35777882011.20117
map.geo,BV,22859440.626953125
map.geo,BW,500135986616.1343
map.geo,BY,228460107055.47168
map.geo,BZ,18644731261.33203
map.geo,CA,11982850198307.342
map.geo,CD,1914889622435.4785
map.geo,CF,510522744950.9867
map.geo,CG,282222653979.9021
map.geo,CH,43181483344.24341
map.geo,CI,264443724032.31866
map.geo,CL,702867793246.0195
map.geo,CM,382221277002.3445
map.geo,CN,8889896445733.693
map.geo,CO,934913975049.8342
map.geo,CR,42221386837.91406
map.geo,CU,94009449578.19043
map.geo,CV,2297373783.004883
map.geo,CX,68578321.87988281
map.geo,CY,9038051337.868164
map.geo,CZ,83768420177.33447
map.geo,DE,383744287234.1094
map.geo,DJ,18190399878.868652
map.geo,DK,47981965875.89746
map.geo,DM,631492047.3183594
map.geo,DO,41495599598.00879
map.geo,DZ,2082400745919.4365
map.geo,EC,209243889778.4735
map.geo,EE,52559568861.43652
map.geo,EG,887114884698.9507
map.geo,EH,236886668356.57178
map.geo,ER,101698793919.06982
map.geo,ES,486463183691.15625
map.geo,ET,933876727931.3892
map.geo,FI,426157121887.27246
map.geo,FJ,14930072159.460938
map.geo,FK,12249802745.953125
map.geo,FM,377180770.34521484
map.geo,FO,1388711018.0844727
map.geo,FR,565565420550.5216
map.geo,GA,213787203603.072
map.geo,GB,268581282785.79016
map.geo,GD,262883567.21044922
map.geo,GE,67786813749.038086
map.geo,GF,68761197405.76196
map.geo,GG,40004021.0970459
map.geo,GH,197382697523.18195
map.geo,GI,8572290.235229492
map.geo,GL,3427724545694.712
map.geo,GM,8592292245.64209
map.geo,GN,203120417120.53784
map.geo,GP,1125827450.875
map.geo,GQ,21602171392.435585
map.geo,GR,123072370905.22314
map.geo,GS,4071837861.671875
map.geo,GT,90426232259.9209
map.geo,GU,537196854.734375
map.geo,GW,27505621934.33606
map.geo,GY,173240270791.08032
map.geo,HK,765791260.9960938
map.geo,HM,437186801.9902344
map.geo,HN,94538074142.68945
map.geo,HR,56608547282.48096
map.geo,HT,22945163529.268555
map.geo,HU,96175381577.58936
map.geo,ID,1535617213274.0076
map.geo,IE,76116222427.4729
map.geo,IL,20062016580.19922
map.geo,IM,594345456.2999268
map.geo,IN,2747436164927.899
map.geo,IO,54291171.48876953
map.geo,IQ,406369418594.6045
map.geo,IR,1506071386263.7256
map.geo,IS,131047458253.95117
map.geo,IT,299447242492.28784
map.geo,JE,62863461.72399902
map.geo,JM,9292362614.841797
map.geo,JO,80736686864.1875
map.geo,JP,356364392223.21484
map.geo,KE,478228070205.3121
map.geo,KG,191456387540.64648
map.geo,KH,151975276147.89648
map.geo,KI,331461889.0908203
map.geo,KM,1300130685.6577148
map.geo,KN,157158654.31054688
map.geo,KP,116171677265.97266
map.geo,KR,93180794855.46875
map.geo,KW,15058656512.979492
map.geo,KY,80008042.19433594
map.geo,KZ,2853538258597.713
map.geo,LA,195665382046.08496
map.geo,LB,9635254224.246094
map.geo,LC,342891609.4033203
map.geo,LI,111439773.05615234
map.geo,LK,54879802085.06885
map.geo,LR,79216534062.49802
map.geo,LS,27457045623.003906
map.geo,LT,72795888676.41406
map.geo,LU,2994586722.1259766
map.geo,LV,74738941129.70117
map.geo,LY,1441153432313.3562
map.geo,MA,371597351970.9834
map.geo,MD,35037807620.90625
map.geo,ME,13289907294.472168
map.geo,MF,45718881.25390625
map.geo,MG,506762366967.8618
map.geo,MK,24862499111.84619
map.geo,ML,1062232487051.5217
map.geo,MM,571580310865.4707
map.geo,MN,1620925788263.586
map.geo,MP,134299213.68359375
map.geo,MQ,931522205.5473633
map.geo,MR,890658097996.1243
map.geo,MS,51433741.41015625
map.geo,MT,228594406.27001953
map.geo,MU,1585873693.491211
map.geo,MW,99561436220.4519
map.geo,MX,1710506221220.3008
map.geo,MY,269772831128.46826
map.geo,MZ,668184306954.8206
map.geo,NA,713617445200.821
map.geo,NC,16041612459.947266
map.geo,NE,1003132260740.7075
map.geo,NG,753081412013.1125
map.geo,NI,107465087817.21191
map.geo,NL,38346711651.65076
map.geo,NO,400474540342.9326
map.geo,NP,131404637013.75
map.geo,NU,125726923.44726562
map.geo,NZ,266118178058.26953
map.geo,OM,265438109699.58887
map.geo,PA,60906122120.33887
map.geo,PE,1070530463999.0955
map.geo,PF,1528725091.9248047
map.geo,PG,379821035736.5244
map.geo,PH,240358445901.771
map.geo,PK,796525778924.5674
map.geo,PL,339219811753.0415
map.geo,PM,214307255.875
map.geo,PR,7615051158.84375
map.geo,PS,5752006747.748047
map.geo,PT,87014460746.35791
map.geo,PW,231451836.34765625
map.geo,PY,347677804785.00195
map.geo,QA,9695260255.889648
map.geo,RE,2200221160.3398438
map.geo,RO,245964723715.5376
map.geo,RS,89443276312.96143
map.geo,RU,20697446166163.39
map.geo,RW,20722082928.29892
map.geo,SA,1708980353558.458
map.geo,SB,20316327857.176758
map.geo,SC,211449825.7993164
map.geo,SD,2086612597854.9463
map.geo,SE,551509721995.0483
map.geo,SG,342891609.4036865
map.geo,SH,122869493.36932373
map.geo,SI,20982109065.431152
map.geo,SJ,115474464326.86792
map.geo,SK,51608044645.33838
map.geo,SL,59888877012.44098
map.geo,SM,28574300.783691406
map.geo,SN,165150886239.23132
