Country,Population
AD,78360
AE,9205651
AF,29824536
AG,89069
AL,3162083
AM,2969081
AO,20820525
AR,41086927
AS,55128
AT,8462446
AU,22683600
AW,102384
AZ,9297507
BA,3833916
BB,283221
BD,154695368
BE,11142157
BF,16460141
BG,7304632
BH,1317827
BI,9849569
BJ,10050702
BM,64806
BN,412238
BO,10496285
BR,198656019
BS,371960
BT,741822
BW,2003910
BY,9464000
BZ,324060
CA,34880491
CD,65705093
CF,4525209
CG,4337051
CH,7997152
CI,19839750
CL,17464814
CM,21699631
CN,1350695000
CO,47704427
CR,4805295
CU,11270957
CV,494401
CY,1128994
CZ,10514810
DE,81889839
DJ,859652
DK,5590478
DM,71684
DO,10276621
DZ,38481705
EC,15492264
EE,1339396
EG,80721874
ER,6130922
ES,46217961
ET,91728849
FI,5414293
FJ,874742
FM,103395
FO,49506
FR,65696689
GA,1632572
GB,63227526
GD,105483
GE,4511800
GH,25366462
GL,56840
GM,1791225
GN,11451273
GQ,736296
GR,11280167
GT,15082831
GU,162810
GW,1663558
GY,795369
HK,7154600
HN,7935846
HR,4267000
HT,10173775
HU,9943755
ID,246864191
IE,4588798
IL,7907900
IM,85284
IN,1236686732
IQ,32578209
IR,76424443
IS,320137
IT,60917978
JM,2712100
JO,6318000
JP,127561489
KE,43178141
KG,5582100
KH,14864646
KI,100786
KM,717503
KN,53584
KP,24763188
KR,50004000
KW,3250496
KY,57570
KZ,16797459
LA,6645827
LB,4424888
LC,180870
LI,36656
LK,20328000
LR,4190435
LS,2051545
LT,2985509
LU,531441
LV,2025473
LY,6154623
MA,32521143
MC,37579
MD,3559541
ME,621081
MF,30959
MG,22293914
MH,52555
MK,2105575
ML,14853572
MM,52797319
MN,2796484
MO,556783
MP,53305
MR,3796141
MT,418366
MU,1291456
MV,338442
MW,15906483
MX,120847477
MY,29239927
MZ,25203395
NA,2259393
NC,258121
NE,17157042
NG,168833776
NI,5991733
NL,16767705
NO,5018869
NP,27474377
NZ,4433100
OM,3314001
PA,3802281
PE,29987800
PF,273814
PG,7167010
PH,96706764
PK,179160111
PL,38542737
PR,3667084
PS,4046901
PT,10526703
PW,20754
PY,6687361
QA,2050514
RO,21326905
RS,7223887
RU,143533000
RW,11457801
SA,28287855
SB,549598
SC,87784.9075164
SD,37195349
SE,9516617
SG,5312400
SI,2058152
SK,5410267
SL,5978727
SM,31247
SN,13726021
SO,10195134
SR,534541
ST,188098
SV,6297394
SY,22399254
SZ,1230985
TC,32427
TD,12448175
TG,6642928
TH,66785001
TJ,8008990
TL,1210233
TM,5172931
TN,10777500
TO,104941
TR,73997128
TT,1337439
TV,9860
TZ,47783107
UA,45593300
UG,36345860
US,313914040
UY,3395253
UZ,29776850
VC,109373
VE,29954782
VI,105275
VN,88775500
VU,247262
WS,188889
YE,23852409
ZA,51189306.6149
ZM,14075099
ZW,13724317
